Muestra,Temp,Hum,Hum2,Pres,Den,Vol,DP,DP1,Vel1,Vel2,Tiempo,PWM,Paro,VelRef,Error
0,2.01,81.0,76.0,802.0,4.2,4.08,4.32,3.16,12.0,5.8,311.0,44.0,25.0,1.0,0.0
1,2.97,72.6,91.2,867.0,3.1,3.33,4.79,4.49,15.9,5.1,3.0,0.0,4.0,1.0,0.0
2,2.22,86.6,94.9,1024.0,3.01,3.53,4.77,3.08,10.8,16.3,6.0,0.0,7.0,1.0,0.0
3,2.15,79.4,82.9,801.0,4.17,4.95,4.05,3.04,8.1,7.8,8.0,0.0,9.0,1.0,0.0
4,2.51,99.7,77.1,928.0,4.37,4.58,4.77,4.97,17.4,8.4,10.0,0.0,11.0,1.0,0.0
5,2.6,85.7,99.4,1008.0,4.95,4.68,4.13,4.3,13.6,4.2,12.0,0.0,13.0,1.0,0.0
6,3.23,90.6,81.3,970.0,3.38,3.94,3.2,3.44,4.6,6.4,16.0,0.0,17.0,1.0,0.0
7,2.22,96.0,89.4,984.0,4.55,4.89,3.07,3.15,7.3,14.9,23.0,0.0,24.0,1.0,0.0
8,2.09,92.9,85.3,1083.0,3.47,3.07,4.73,4.22,13.5,15.6,29.0,0.0,30.0,1.0,0.0
9,3.05,73.3,95.7,976.0,4.78,3.66,4.57,4.11,15.8,14.4,31.0,0.0,32.0,1.0,0.0
10,2.39,97.3,87.7,804.0,4.58,3.0,3.54,4.6,14.5,17.7,33.0,0.0,34.0,1.0,0.0
11,3.13,71.4,99.3,1060.0,4.54,3.18,4.57,4.85,15.9,14.5,35.0,0.0,36.0,1.0,0.0
12,2.33,85.8,90.3,976.0,4.5,4.34,4.8,3.79,6.2,15.4,39.0,0.0,40.0,1.0,0.0
13,2.5,97.1,82.9,1018.0,4.46,3.99,3.3,3.21,5.6,5.4,41.0,0.0,42.0,1.0,0.0
14,2.51,90.1,70.5,980.0,3.18,3.74,3.49,3.13,5.0,15.5,43.0,0.0,44.0,1.0,0.0
15,2.9,76.6,81.0,1093.0,4.53,4.65,4.6,4.42,8.3,3.2,45.0,0.0,46.0,1.0,0.0
16,2.95,83.1,84.2,916.0,3.06,4.15,4.24,3.01,12.7,9.1,52.0,1.0,1.0,1.0,0.0
17,3.03,72.4,80.8,936.0,3.81,3.15,4.1,3.16,3.5,15.3,53.0,1.0,2.0,1.0,0.0
18,2.31,82.0,99.1,969.0,3.65,3.27,4.36,4.28,15.5,6.4,54.0,1.0,3.0,1.0,0.0
19,3.47,71.5,79.3,879.0,4.29,4.64,4.79,4.01,15.5,11.9,60.0,1.0,9.0,1.0,0.0
20,2.86,82.1,81.9,996.0,3.47,4.88,4.59,4.87,16.5,16.5,62.0,1.0,11.0,1.0,0.0
21,3.11,72.5,81.9,931.0,4.03,3.98,4.98,3.39,13.4,3.3,64.0,1.0,13.0,1.0,0.0
22,3.03,73.2,83.2,1041.0,3.54,4.77,3.17,4.0,11.9,14.5,66.0,1.0,15.0,1.0,0.0
